"ra_number","date_of_survey","check_out_day","check_in_day","primary_rental_purpose","vehicle_model_description","overall_satisfaction","mechanical_condition_of_vehicle","cleanliness_of_the_vehicle","vehicle_selection_choice","ease_of_pick_up","ease_of_return","would_you_recommend","recommend_comment"
"830358233",2019-07-09,2019-06-30,2019-07-08,"Leisure","SIR PILOT FWD N",0,8,8,8,8,8,0,"Coolant was below the low line. Wiper fluid almost immediately needed to be refilled. I had to refill both. Air pressure on one of the tires was a little lower than the rest when car was first received. I didn't think much of it initially when leaving the airport. However, I noticed the PSI slowly lowering when driving from Phoenix to Flagstaff. I discovered there was a nail in the tire. It was in a location that couldn't be patched and the tire needed to be replaced. I called customer service and was told I was responsible for the cost of the replacement. It didn't matter that I obviously received the car with the nail in the tire already. 0 for 3. It was a terrible car rental experience."
"832564412",2019-07-09,2019-07-03,2019-07-08,"Leisure","SIR QX60 AWD SN",,,,,,,,
"814728563",2019-07-09,2019-06-23,2019-07-05,"Leisure","SIR EXPLORER 3N",10,10,10,10,10,10,10,"Quick service. Pleasurable staff. Clean, reliable and comfortable car. Easy drop off. Will use Hertz again"
"832119621",2019-07-09,2019-07-03,2019-07-09,"Leisure","SIR ROGUE AWD N",,,,,,,,
"832910024",2019-07-08,2019-07-04,2019-07-07,"Leisure","SIREQUINOXAWD2N",7,4,7,3,9,9,7,"Very few cars were available in the Gold section. I asked an employee about a small SUV. He pointed out a Chevy Equinox. 'That's the one I'd take.' It was sitting beside another SUV but definitely in the Gold section. At the check out gate I was told it was not a 'Gold' car and I either had to go back and get another one or pay an additional $15 PER DAY. It was over 100 degrees and I had been up since 2 am. I was not going back. I did not appreciate being put in this situation, not of my making."
"831223050",2019-07-08,2019-07-01,2019-07-04,"Both Business and Leisure","SIRF-PACEAWSN2N",,,,,,,,
"832617166",2019-07-08,2019-07-03,2019-07-07,"Leisure","SIREQUINOXFWD1N",,,,,,,,
"658373284",2019-07-08,2019-06-13,2019-07-02,"Leisure","COROLLA N",,,,,,,,
"832818453",2019-07-08,2019-07-04,2019-07-07,"Leisure","SIR TERRAINFW1N",10,10,10,10,10,10,10,"Availability of cars and ease of getting in and out quickly. The return was just as quick as the pickup customer service was excellent"
"832330100",2019-07-08,2019-07-03,2019-07-07,"Leisure","SIRIMPALA5P3.6N",2,10,2,7,8,8,3,"First off, the car was dirty. There was dirt/sand and dried grass or something on the floors. I was in the car for less than 15 minutes and with the sun glare I noticed something was on the windshield. Didn't matter too much, a rock was flung up from a truck and put a softball size break in the windshield anyway. After looking it over, I realized it was clearcoat overspray. That car had either been in an accident recently or had the hood replaced/repaired at a minimum, and there was clearcoat all over the windshield. The paint job on the hood is amateur at best."
"831372275",2019-07-08,2019-07-02,2019-07-04,"Leisure","SIRMUST CV 2.3N",10,10,10,9,10,10,10,"The employee at the counter was amazing. She was friendly very attentive and smiling the whole way. It made me recover from my flight."
"832240662",2019-07-08,2019-07-03,2019-07-07,"Leisure","SIREQUINOXFWD2N",,,,,,,,
"818001590",2019-07-08,2019-06-27,2019-07-04,"Leisure","SIREQUINOXFWD2N",,,,,,,,
"832248196",2019-07-08,2019-07-03,2019-07-07,"Leisure","SIR ROGUE FWD N",9,9,7,9,9,9,10,"Quick and efficient checkin Let us have our choice of car"
"819155761",2019-07-08,2019-06-28,2019-07-04,"Both Business and Leisure","CX3 FWD N",10,10,10,6,10,10,10,"Car was clean and ready"
"819693302",2019-07-08,2019-06-29,2019-07-07,"Leisure","SIREQUINOXFWD2N",,,,,,,,
"817037141",2019-07-08,2019-06-26,2019-07-03,"Leisure","C300 2.0 CV RWN",,,,,,,,
"818158762",2019-07-08,2019-06-27,2019-07-07,"Leisure","SIR QX60 AWD SN",4,0,0,8,0,10,0,"I have been a hertz customer for over 15 years lately I have been prepaying for the car. When I get there usually my name is not on the gold board and you have given away the car I paid for which is Always nicer than what I get from Hertz. I always have to go into the office wait on line which defeats the purpose of being gold and pre selecting and paying for the car. Usually tat least in your PHX its a very long wait and they are very unaccommodating."
"830978960",2019-07-08,2019-07-01,2019-07-07,"Both Business and Leisure","SIRMALIBU 1.5 N",,,,,,,,
"832631494",2019-07-08,2019-07-03,2019-07-07,"Business","SIR ELANTRAFT2N",10,8,8,6,10,10,10,"Easy in and out."
"658119335",2019-07-08,2019-06-13,2019-07-07,"Both Business and Leisure","SIRRAM152WC5SBN",10,10,10,10,10,10,10,"I rent from Hertz only and the service is good but the last few times I have picked from Phoenix it has been beyond good it has been stellar"
"832141973",2019-07-08,2019-07-03,2019-07-07,"Leisure","SIRIMPALA5P2.5N",9,9,10,8,9,8,5,"Car was too expensive compared to competition."
"817521294",2019-07-08,2019-06-26,2019-07-04,"Leisure","SIR ALTIMA U N",,,,,,,,
"832154886",2019-07-08,2019-07-03,2019-07-07,"Leisure","SIRF-PACEAWSN2N",10,9,10,10,10,9,10,"The rental process went with ease, the pricing was ok for the amount of time we were there, and vehicle, the jaguar F Pace is actually a SUV we're looking at purchasing, so that was a 4 day test run for us!"
"830117794",2019-07-08,2019-06-30,2019-07-07,"Leisure","SIR HIGH FWD8PN",,,,,,,,
"818420411",2019-07-08,2019-06-27,2019-07-02,"Leisure","SIRCAMARO SS SN",10,10,9,10,9,10,10,"Clean car, Clean facility, everything was as ordered ,and even nicer than expected. customer service was first class with friendly service and personal greetings. all in all it made for a pleasant experience ."
"831714332",2019-07-08,2019-07-02,2019-07-07,"Both Business and Leisure","SIRRAM152WC5SBN",9,9,9,9,9,9,9,"The selection of autos was great! Fast and simple"
"830984022",2019-07-08,2019-07-01,2019-07-04,"Leisure","SIR SOUL 5D N",10,10,10,10,10,10,10,"Staff is friendly and the signage is very easy to read. Rental return very smooth and efficient. Accidentally left my phone in the car and return attendant found it and returned it to me before I even left the parking deck."
"832452810",2019-07-08,2019-07-03,2019-07-07,"Leisure","WRAN 4D 4W 3.6N",,,,,,,,
"833757341",2019-07-08,2019-07-05,2019-07-07,"Leisure","COROLLA N",,,,,,,,
"816613700",2019-07-08,2019-06-25,2019-07-01,"Leisure","SIR X3 RWD SUNN",,,,,,,,
"818759631",2019-07-08,2019-06-28,2019-07-05,"Leisure","SIR QX60 AWD SN",5,8,8,5,10,10,8,"Disappointed with the vehicle - this was an elite crossover but didn't have GPS nor Sirius/XM radio and some body dings. OK but ....... On the other hand, Gil Lopez was fantastic - met us when we were ready to depart the terminal, arranged for the car to be available as close to our exit door as possible and assisted with our luggage due to my wife's foot injury (in a foot boot). and assisted with our luggage due to"
"819048042",2019-07-08,2019-06-28,2019-07-05,"Leisure","COROLLA N",10,10,10,10,10,10,7,"The car was clean and had no problems with it. Person at counter who handled the transaction was OK but not exceptionally helpful but my main peeve was informed that if my wife was allowed to drive I would have to pay an additional $13 per day extra. We thought this was ridiculous since only one of us could drive the car at a time and we both were covered on our own insurance. Enterprise and Budget never charged us extra for my wife. Never Hertz again."
"818597360",2019-07-08,2019-06-28,2019-07-05,"Both Business and Leisure","SIRENCLV FWD 7N",,,,,,,,
"832218435",2019-07-08,2019-07-03,2019-07-07,"Leisure","SIREQUINOXFWD2N",10,10,10,10,10,10,10,"Good value for the price. Loved the choice of cars. Never waited for anything."
"830552122",2019-07-08,2019-06-30,2019-07-04,"Leisure","SIRMALIBU 1.5 N",10,10,10,10,10,10,10,"I would highly recommend using Hertz rental car service. There customer service is excellent in every state that I use them. The employees are friendly, always informative. There is always a nice selection of cars to choose from."
"830202564",2019-07-08,2019-06-30,2019-07-04,"Leisure","CAMRY 2.5 FT N",10,10,10,6,10,10,10,"Easy booking, easy pickup."
"832560223",2019-07-08,2019-07-03,2019-07-07,"Both Business and Leisure","SIREQUINOXFWD1N",10,10,10,10,10,10,10,"The rental process was very hassle free and it was brand new rental in amazing condition, no complaints at all. thank you."
"831048783",2019-07-08,2019-07-01,2019-07-04,"Leisure","SIRENCOREFWDSUN",7,8,9,9,9,9,9,"Great service at the counter."
"819832274",2019-07-08,2019-06-29,2019-07-07,"Leisure","VELOSTER 2.0 N",4,10,9,1,6,9,4,"I reserved a full-sized car and was given the choice of many small Nissan Sentras with about 35,000 miles on them or a new 3 door Hyundai Velocitor with only 7,000. I chose the Hyundai because of the low miles but is was a very small call and proved very hard to used during a weeklong baseball tournament. I feel the 'full-sized cars offered to me were really mid-sized or compacts. There is no way they were full-sized cars."
"830442686",2019-07-08,2019-06-30,2019-07-04,"Leisure","SIR ALTIMA N",,,,,,,,
"833019235",2019-07-08,2019-07-04,2019-07-07,"Leisure","SIR 300 3.6 RWN",8,9,10,0,6,10,8,"Phoenix ran out of cars and the car selection process was confusing"
